#numero_de_años	o	instantes																																					
29																																							
#numero_de_trimestres	por	año																																					
4																																							
#numero_de_años	para	conseguir	el	equilibrio																																			
12																																							
#numero_de_tallas																																							
37
# solo cambia el cv del pelaces,..... no pasa na

#Año	Est	B.rs	cv_r	nmB.rs	B.pel	cv_pel	nmB.pel	mph	cv_mph	CPUE	cv_cpue	Desemb	cv_des	nm																									
0	0	0	0.002	0	0	7.816	3.908	50.806	164.143	293.113	230.582	144.602	207.133	351.736	383.001	640.941	1094.289	2051.792	3048.376	3912.083	4994.647	6331.243	7175.408	7077.704	6460.212	4642.911	3255.509	1805.577	1160.728	824.625	554.961	359.552	128.97	0	0	0			
0	0	0	0	0	0	16.692	38.947	66.766	66.766	139.096	383.906	745.556	1552.314	2197.72	3410.639	3905.821	5825.349	6220.382	7650.291	7989.686	8406.974	8434.794	7310.896	6943.682	6876.916	7310.896	6131.361	4178.45	2882.073	1824.942	1413.217	778.939	322.703	27.819	0	0			
0	0	0	0	0	0	0	0	26.823	53.645	53.645	214.582	616.923	724.214	1636.187	1904.414	3755.182	4720.801	8449.16	16388.688	19392.834	28271.158	24569.621	22101.93	18749.088	12955.379	11185.079	8422.337	5176.787	3755.182	1850.768	1743.477	1448.427	670.568	107.291	0	0			
0	0	0	0.026	0	0	7.855	0	3.928	0	11.783	54.986	161.03	380.974	651.977	1280.388	1830.248	2109.105	2494.007	3012.447	3601.582	4650.244	5608.571	5781.384	4991.942	4383.169	4304.618	3373.783	2297.629	1582.811	624.484	404.54	227.799	86.407	7.855	0	0			
0	0	0.014	0.015	0	0	0	0	0	9.231	46.155	143.079	678.472	1200.019	2469.27	3009.278	2940.047	2930.816	3073.895	3526.21	4887.77	6544.719	8538.597	11012.482	11894.034	11561.722	10767.863	8626.29	5501.626	2644.657	1606.179	858.475	470.777	180.003	55.385	0	0			
0	0	0	0	0	0	0	0	0	241.353	804.51	1146.427	1669.358	2835.897	3791.253	6043.88	8356.846	11303.363	14330.331	16995.27	17357.3	15728.167	14933.714	15728.167	15466.702	16160.591	15114.728	14290.106	9191.525	6878.559	4042.662	3248.208	1950.936	1146.427	392.199	80.451	50.282			
0.05	0.05	0	0	0	0	0	45.554	79.719	182.215	239.157	421.372	649.14	1480.495	3040.709	5705.601	8188.277	10670.954	14155.812	17526.785	17913.992	19474.206	20362.503	20556.106	18802.289	21193.858	23220.998	22378.254	16046.29	8848.806	3530.412	2084.082	979.405	409.983	68.331	68.331	0			
0.006	0.006	0	0	0	0	0	0	1.786	5.359	53.593	75.031	101.828	155.421	191.15	294.764	560.945	703.861	841.418	886.079	952.178	1114.745	1436.306	1677.477	2084.787	2350.968	2881.544	2781.503	2006.183	948.605	317.988	173.286	75.031	17.864	3.573	0	0			
0	0	0	0.027	0	0	0	0	0	0	0	0	3.546	0	21.275	42.549	237.566	280.115	365.213	1060.182	1875.707	4354.193	7673.024	9403.355	9126.785	9832.391	9126.785	8027.6	5347.006	2932.343	1070.819	436.128	177.288	78.007	17.729	14.183	0			
0	0	0	0	0	0	0	0	0	0	0	41.07	73.926	139.637	648.903	1421.015	2193.127	2653.108	1831.712	1330.661	870.679	936.391	1264.949	2866.671	4304.114	5224.077	5298.002	4928.374	4156.262	2866.671	1963.136	1322.447	813.182	492.837	213.563	8.214	0			
